id,listing_date,neighborhood,price,sqm,rooms,bedrooms,bathrooms,floor,elevator,furnishing,heating,energy_class,year_built,nearest_metro,condo_fees,deposit_months,contract_type,description
ML-2025-02054,07/01/2025,Corvetto,900,52,3,2,1,6,True,furnished,heat pump,E,1996.0,M3,170.0,1,temporary,"Two-bedroom, with elevator, near metro M3."
ML-2025-01838,2024-10-04,Porta Garibaldi,€ 950,44,3,3,1,first,False,partly furnished,autonomous,,,,,1,temporary,"Two-bedroom, in historic building, near metro M5."
ML-2025-00514,2025-02-17,Quarto Oggiaro,850,88,4,3,1,2,False,partly furnished,autonomous,,1932.0,,250.0,1,student,"Apartment, in historic building, near metro M3."
ML-2025-00778,2025-01-23,DE ANGELI,1950,93,4,4,1,5,True,unfurnished,heat pump,A,2020.0,M1,190.0,1,temporary,"Apartment, recently built, with elevator, near metro M1."
ML-2025-00803,2024-10-07,Sempione,2000,73,2,1,1,4,True,furnished,autonomous,E,1951.0,M5,270.0,3,4+4,"One-bedroom, with elevator, near metro M5."
ML-2025-01034,10/05/2024,Porta Romana,1800,68,2,1,2,first,True,partly furnished,autonomous,C,2008.0,M3,70.0,2,3+2,"One-bedroom, with elevator, near metro M3."
ML-2025-00802,2024-12-17,Porta Romana,1250,51,2,1,1,3,True,furnished,autonomous,G,1968.0,,200.0,2,4+4,"One-bedroom, with elevator, near metro M3."
ML-2025-02145,24/03/2025,Città Studi,1000,59,4,3,1,3,True,unfurnished,central,F,1987.0,M2,180.0,3,4+4,"Apartment, with elevator, near metro M2."
ML-2025-01815,2025-02-10,Porta Venezia,950,32,1,1,1,4th,True,furnished,autonomous,C,2013.0,M1,60.0,2,4+4,"Studio, recently built, with elevator, near metro M1."
ML-2025-01260,2024-11-16,Zone Sempione,1850,90,4,3,1,3,True,unfurnished,autonomous,,2003.0,M5,140.0,3,4+4,"Apartment, with elevator, near metro M5."
ML-2025-01218,2024-12-31,Lambrate,1500,81,3,2,2,4,True,furn.,autonomous,B,2006.0,M2,220.0,1,temporary,"Two-bedroom, with elevator, near metro M2."
ML-2025-01572,12/01/2024,Magenta,1000,40,2,1,1,5th,True,furnished,autonomous ,G,1932.0,M2,150.0,3,4+4,"One-bedroom, in historic building, with elevator, near metro M2."
ML-2025-00025,2024-11-06,Città Studi,1850,89,4,4,2,3th,True,unfurnished,autonomous,,1925.0,M2,90.0,3,4+4,"Apartment, in historic building, with elevator, near metro M2."
ML-2025-00520,1 December 2024,Porta Romana,2900,132,6,5,2,5,True,partly furnished,central,G,1964.0,M3,280.0,2,4+4,"Large apartment, with elevator, near metro M3."
ML-2025-01678,2024-12-14,NoLo,1400,80,3,2,1,4,True,furnished,autonomous,G,1944.0,M1,220.0,3,4+4,"Two-bedroom, in historic building, with elevator, near metro M1."
ML-2025-01154,2025-02-24,Lambrate,1400,73,4,3,1,7,True,PARTLY,central,,1981.0,M2,190.0,2,4+4,"Apartment, with elevator, near metro M2."
ML-2025-00126,9 November 2024,NoLo,1100,62,2,1,1,5,True,unfurnished,autonomous,E,,M1,320.0,2,3+2,"One-bedroom, in historic building, with elevator, near metro M1."
ML-2025-01167,10/09/2024,Quarto Oggiaro,800,68,2,1,2,1,False,furnished,autonomous,G,1968.0,M3,160.0,2,4+4,"One-bedroom, near metro M3."
ML-2025-01208,19/02/2025,NoLo,1050,56,3,2,1,7th,True,furnished,heat pump,D,1998.0,M1,210.0,3,4+4,"Two-bedroom, with elevator, near metro M1."
ML-2025-01535,2024-10-31,NoLo,1750,92,3,2,1,2th,False,FURNISHED,autonomous,,1906.0,M1,200.0,1,student,"Two-bedroom, in historic building, near metro M1."
ML-2025-00062,2025-01-13,Isola,850,39,2,1,1,2th,True,furnished,HP,F,1940.0,M5,210.0,3,3+2,"Studio, in historic building, with elevator, near metro M5."
ML-2025-00358,05/01/2025,Sempione,950,42,2,1,1,5,True,unfurnished,Autonomous,C,2000.0,M5,150.0,2,4+4,"One-bedroom, with elevator, near metro M5."
ML-2025-00852,2025-03-20,De Angeli,1050,58,2,1,1,5th,True,unfurnished,autonomous,G,1947.0,M1,210.0,1,temporary,"One-bedroom, in historic building, with elevator, near metro M1."
ML-2025-00028,2025-03-02,Città Studi,1550,79,3,2,2,1,False,unfurnished,central,F,1923.0,M2,120.0,-2,4+4,"Two-bedroom, in historic building, near metro M2."
ML-2025-01496,2025-02-23,Lambrate,800,57,3,2,1,ground floor,False,partly furnished,central,G,1937.0,M2,250.0,3,4+4,"Two-bedroom, in historic building, near metro M2."
ML-2025-01385,2025-02-13,Bicocca,1300,59,3,2,1,3,True,furnished,central,E,1993.0,,60.0,3,4+4,"Two-bedroom, with elevator, near metro M5."
ML-2025-02490,2024-10-31,Tortona,1500,54,3,2,1,5,True,furnished,autonomous,,1995.0,M2,70.0,1,temporary,"Two-bedroom, with elevator, near metro M2."
ML-2025-00819,02/02/2025,Brera,2900,94,4,3,2,4,True,unfurnished,central,E,1985.0,M2,210.0,1,temporary,"Apartment, with elevator, near metro M2."
ML-2025-02078,2025-01-23,NoLo,1000,50,2,1,1,6,True,unfurnished,central,C,1994.0,M2,60.0,3,4+4,"One-bedroom, with elevator, near metro M2."
ML-2025-01104,2024-10-31,Corvetto,€ 900,75 sqm,3,2,1,5,True,unfurnished,autonomous,F,1971.0,M3,,2,4+4,"Two-bedroom, with elevator, near metro M3."
ML-2025-01264,12/02/2025,Città Studi,850,44,2,1,1,4,True,furnished,autonomous,G,1940.0,M2,210.0,3,4+4,"One-bedroom, in historic building, with elevator, near metro M2."
ML-2025-01377,24/02/2025,NoLo,1400,81,4,3,1,8,True,unfurnished,heat pump,B,2021.0,M1,210.0,1,temporary,
ML-2025-00473,2025-02-19,Brera,1900,72,4,3,1,1st,False,unfurnished,central,,1952.0,M3,150.0,2,4+4,"Apartment, near metro M3."
ML-2025-00976,2025-03-19,Isola,1500,60,3,2,2,7,True,furnished,autonomous,,1985.0,M5,140.0,3,3+2,"Two-bedroom, with elevator, near metro M5."
ML-2025-01612,12/01/2025,Bicocca,900,72,3,2,2,1,False,unfurnished,autonomous ,,1948.0,M5,310.0,1,student,"Two-bedroom, in historic building, near metro M5."
ML-2025-01252,2025-02-11,Città Studi,€ 2800,122 sqm,5,4,2,GF,True,furnished,autonomous,F,1986.0,M2,,3,4+4,"Large apartment, with elevator, near metro M2."
ML-2025-01233,30 December 2024,Navigli,700,36,2,2,1,5th,True,unfurnished,autonomous,G,1941.0,M2,250.0,3,4+4,"Studio, in historic building, with elevator, near metro M2."
ML-2025-00154,2024-12-22,Città Studi,1200,54,2,1,1,1,False,furnished,central,G,1927.0,M2,140.0,2,4+4,"One-bedroom, in historic building, near metro M2."
ML-2025-01559,04/03/2025,Quarto Oggiaro,850,81,4,3,2,4th,True,unfurnished,CENTR.,D,1993.0,M3,90.0,3,3+2,"Apartment, with elevator, near metro M3."
ML-2025-01231,02/24/2025,Baggio,2400,166,4,3,2,4,True,Furnished,autonomous,G,1918.0,,70.0,3,3+2,"Large apartment, in historic building, with elevator."
ML-2025-00539,2024-12-23,NoLo,1700,83,5,4,1,G,False,furnished,central,,1975.0,M1,210.0,2,4+4,"Apartment, near metro M1."
ML-2025-02474,2025-03-11,De Angeli,1300,88,3,2,2,2,False,UNFURNISHED,central,,1966.0,M1,300.0,3,4+4,"Two-bedroom, near metro M1."
ML-2025-00744,16/12/2024,Città Studi,1650,101,4,3,2,2th,False,partly furnished,central,F,1966.0,M2,180.0,3,4+4,"Large apartment, near metro M2."
