id,listing_date,neighborhood,price,sqm,rooms,bedrooms,bathrooms,floor,elevator,furnishing,heating,energy_class,year_built,nearest_metro,condo_fees,deposit_months,contract_type,description
ML-2025-11853,18/08/2025,Bicocca,380,61,3,2,1,6,True,furnished,autonomous,F,1944.0,,116.0,2,4+4,"Two-bedroom, with elevator."
ML-2025-52825,2024-06-21,Isola,€ 380,60,3,2,1,ground floor,True,unfurnished,autonomous,E,1974.0,M2,,2,3+2,"Two-bedroom, with elevator, near metro M2."
ML-2025-99636,17/08/2025,De Angeli,674,92,4,4,1,3,False,unfurn.,central,B,1971.0,M2,238.0,1,4+4,"Four-bedroom, near metro M2."
ML-2025-49765,2025-09-07,bocconi,€1293,93,4,4,2,4,False,furnished,autonomous,B,1923.0,M3,269.0,1,4+4,"Four-bedroom, in historic building, near metro M3."
ML-2025-67083,2024-08-16,Zone Brera,1737,58,3,2,1,5,False,furn.,central,F,1907.0,M1,196.0,1,4+4,"Two-bedroom, in historic building, near metro M1."
ML-2025-98283,2024-12-05,corvetto,€ 380,61,2,1,1,6,True,unfurnished,autonomous,F,1940.0,M2,175.0,1,4+4,"One-bedroom, with elevator, near metro M2."
ML-2025-43217,15/03/2024,sempione,803,85,3,2,1,6,True,furnished,autonomous,C,1969.0,M3,,2,4+4,"Two-bedroom, with elevator, near metro M3."
ML-2025-92814,2025-12-24,Zone Bicocca,€ 380,52 sqm,1,1,2,3,True,partly furnished,central,G,1936.0,,128.0,1,3+2,"One-bedroom, with elevator."
ML-2025-81886,25/01/2024,quadrilatero,2704,61,3,3,2,ground floor,False,furnished,central,D,1910.0,M5,235.0,2,student,"Three-bedroom, in historic building, near metro M5."
ML-2025-03586,2025-01-20,isola,€412,72,4,3,1,2,False,partly furnished,autonomous,B,1933.0,M5,227.0,1,3+2,"Three-bedroom, near metro M5."
ML-2025-05038,10/07/2025,navigli,976,99 sqm,4,4,2,3,True,unfurnished,central,,1970.0,M1,255.0,1,4+4,"Four-bedroom, with elevator, near metro M1."
ML-2025-09220,2024-06-10,quarto oggiaro,380,57,1,1,1,4,False,unfurnished,central,,1975.0,M3,,2,3+2,"One-bedroom, near metro M3."
ML-2025-41928,22/07/2025,città studi,€ 380,37,2,1,1,6,True,partly furnished,autonomous,,1913.0,M3,169.0,1,4+4,"One-bedroom, in historic building, with elevator, near metro M3."
ML-2025-81111,01/12/2024,lambrate,€ 380,36,1,1,1,7,False,furnished,autonomous,E,1954.0,M2,99.0,2,3+2,"One-bedroom, near metro M2."
ML-2025-73219,10/06/2025,isola,380,45,2,2,2,7,True,furnished,heat pump,D,1968.0,M5,197.0,2,3+2,"Two-bedroom, with elevator, near metro M5."
ML-2025-73804,15/11/2025,porta venezia,704,44,2,2,2,1,True,empty,autonomous ,E,1925.0,M5,168.0,2,4+4,"Two-bedroom, in historic building, with elevator, near metro M5."
ML-2025-35944,2025-09-02,tortona,907,66,3,3,1,ground floor,True,partly furnished,autonomous,E,1972.0,M3,219.0,2,temporary,"Three-bedroom, with elevator, near metro M3."
ML-2025-04467,22/01/2024,centro storico,1367,46 sqm,2,1,1,4,False,partly, autonomous,E,2012.0,M1,204.0,2,4+4,"One-bedroom, near metro M1."
ML-2025-05892,11/06/2025,Lambrate,380,55,2,1,1,2,True,furnished,autonomous,E,1916.0,M1,103.0,2,4+4,"One-bedroom, in historic building, with elevator, near metro M1."
ML-2025-13788,2025-02-23,Zone Città Studi,380,53 sqm,2,2,1,6,True,partly furnished,heat pump,E,1949.0,M5,195.0,1,3+2,"Two-bedroom, with elevator, near metro M5."
ML-2025-11094,2025-11-05,sempione,€ 781,60,2,1,2,3,False,furnished,autonomous,C,1901.0,M5,198.0,1,temporary,"One-bedroom, in historic building, near metro M5."
ML-2025-94645,2025-05-02,magenta,€ 2193,111,4,4,2,ground floor,False,furnished,central,,1979.0,M1,271.0,1,temporary,"Four-bedroom, near metro M1."
ML-2025-16719,12/10/2025,Corvetto,380,88,3,3,1,first,False,furnished,central,C,1923.0,M1,204.0,3,4+4,"Three-bedroom, in historic building, near metro M1."
ML-2025-31972,2025-01-26,affori,380,70,3,2,1,2,False,partly,autonomous,F,1958.0,M3,189.0,1,3+2,"Two-bedroom, near metro M3."
ML-2025-83127,2025-05-03,Bicocca,380,60,2,1,1,0,False,unfurnished,centr.,E,1946.0,,140.0,1,student,One-bedroom.
ML-2025-20783,2025-10-04,quadrilatero,€ 2318,60,2,1,1,2,True,unfurnished,heat pump,F,2016.0,M2,246.0,1,4+4,"One-bedroom, with elevator, near metro M2."
ML-2025-72082,22/11/2024,porta garibaldi,2026,79,4,4,2,4,True,unfurnished,heatpump,B,1973.0,M5,195.0,1,3+2,"Four-bedroom, with elevator, near metro M5."
ML-2025-46534,2025-01-04,centro storico,€ 2312,86 sqm,2,1,1,7,True,furnished,central,D,,M2,264.0,1,4+4,"One-bedroom, with elevator, near metro M2."
ML-2025-76386,16/06/2025,quadrilatero,2633,51 sqm,2,2,1,5,True,furnished,autonomous,C,1928.0,M3,224.0,2,temporary,"Two-bedroom, in historic building, with elevator, near metro M3."
ML-2025-30103,02/11/2024,Bocconi,€ 1349,71,3,2,1,0,True,furnished,autonomous,B,1915.0,M2,235.0,2,4+4,"Two-bedroom, in historic building, with elevator, near metro M2."
ML-2025-90932,2025-06-02,sempione,380,34,1,1,1,3,True,furnished,autonomous,G,,M2,170.0,2,3+2,"One-bedroom, with elevator, near metro M2."
ML-2025-73121,11/04/2024,corvetto,€380,75,3,2,1,6,True,unfurnished,centr.,C,2008.0,M2,190.0,2,4+4,"Two-bedroom, with elevator, near metro M2."
ML-2025-30260,2025-09-18,Magenta,2227,91 sqm,4,4,2,2,True,furnished,autonomous,C,,M2,239.0,2,4+4,"Four-bedroom, in historic building, with elevator, near metro M2."
ML-2025-66579,17/10/2025,navigli,902,63,2,1,1,4,False,partly furnished,central,,1979.0,M3,173.0,2,4+4,"One-bedroom, near metro M3."
ML-2025-74307,26/12/2025,Porta Garibaldi,2779,132 sqm,6,5,3,4,False,partly furnished,central,D,1956.0,M2,295.0,1,4+4,"Five-bedroom, near metro M2."
ML-2025-98629,2024-11-02,quadrilatero,2850,51 sqm,2,2,1,first,False,partly furnished,autonomous,G,1970.0,M5,181.0,2,temporary,"Two-bedroom, near metro M5."
ML-2025-36458,2025-01-02,Quadrilatero,3637,76 sqm,2,1,1,3,False,furnished,heat pump,G,2009.0,M1,214.0,2,4+4,"One-bedroom, near metro M1."
ML-2025-97716,2024-10-21,porta garibaldi,€ 1425,69 sqm,4,3,2,4th,True,unfurnished,autonomous,,1966.0,M5,263.0,2,4+4,"Three-bedroom, with elevator, near metro M5."
ML-2025-78568,10/03/2024,porta venezia,€ 1444,68,2,1,1,6,True,furnished,autonomous,D,1915.0,M2,178.0,1,temporary,"One-bedroom, in historic building, with elevator, near metro M2."
ML-2025-43737,2025-11-06,bocconi,1296,67 sqm,3,3,1,6th,True,furnished,central,E,,M2,,1,4+4,"Three-bedroom, with elevator, near metro M2."
ML-2025-69589,25/10/2025,isola,€572,73,3,2,1,2,True,unfurnished,autonomous,E,1919.0,M1,184.0,1,3+2,"Two-bedroom, in historic building, with elevator, near metro M1."
ML-2025-56504,2025-03-09,Zone De Angeli,873,94,4,4,2,3th,True,furnished,autonomous,E,1992.0,M2,211.0,1,4+4,"Four-bedroom, with elevator, near metro M2."
ML-2025-98978,01/06/2025,bocconi,1399,113,4,3,2,6,False,unfurnished,heat pump,,,M2,253.0,2,student,"Three-bedroom, near metro M2."
ML-2025-06136,2024-10-01,magenta,€ 1650,70,3,2,1,6,True,partly,heat pump,C,1900.0,M5,193.0,2,4+4,"Two-bedroom, in historic building, with elevator, near metro M5."
ML-2025-75706,25/11/2025,Lambrate,€ 380,93 sqm,3,3,2,6,True,furnished,central,C,1911.0,M3,250.0,2,4+4,"Three-bedroom, in historic building, with elevator, near metro M3."
ML-2025-83322,2025-11-05,Lambrate,380,55,2,1,1,5,True,partly furnished,autonomous,E,1906.0,M1,184.0,2,3+2,"One-bedroom, in historic building, with elevator, near metro M1."
ML-2025-00591,2025-05-27,navigli,€954,92,3,2,2,2,True,furnished,autonomous,,1938.0,M2,242.0,2,4+4,"Two-bedroom, with elevator, near metro M2."
ML-2025-50953,2024-01-06,porta romana,€ 697,54,2,1,1,2,False,partly furnished,autonomous,G,1917.0,M2,261.0,2,4+4,"One-bedroom, in historic building, near metro M2."
ML-2025-69980,11/12/2025,bocconi,€1348,103,4,3,1,1,False,unfurnished,autonomous,,1984.0,M5,264.0,2,4+4,"Three-bedroom, near metro M5."
ML-2025-84980,02/11/2025,quadrilatero,€4500,152,7,6,2,2,False,furnished,heat pump,,1908.0,M3,358.0,2,4+4,"Six-bedroom, in historic building, near metro M3."
ML-2025-10165,2025-03-13,porta venezia,€ 1292,67,3,2,2,5,True,furnished,autonomous,D,1973.0,M1,202.0,1,3+2,"Two-bedroom, with elevator, near metro M1."
ML-2025-27791,26/07/2024,centro storico,€1129,32,2,1,2,4,True,furnished,centr.,,1924.0,M1,,3,4+4,"One-bedroom, in historic building, with elevator, near metro M1."
ML-2025-54609,2025-12-27,bicocca,€ 380,58,2,2,2,3,True,partly furnished,autonomous,F,,,147.0,2,temporary,"Two-bedroom, with elevator."
ML-2025-64283,11/04/2025,Bocconi,1962,108,4,3,2,2,False,furnished,autonomous,D,1943.0,M2,293.0,1,4+4,"Three-bedroom, near metro M2."
ML-2025-15732,2025-10-02,bocconi,1343,85,3,2,1,6,True,partly furn.,autonomous,G,1943.0,M1,251.0,2,3+2,"Two-bedroom, with elevator, near metro M1."
ML-2025-82415,2025-06-19,Bicocca,€ 380,76,3,2,1,3,True,furnished,autonomous,G,1919.0,,220.0,2,4+4,"Two-bedroom, in historic building, with elevator."
ML-2025-49472,09/12/2025,Isola,644,100,4,4,2,2,True,partly furnished,autonomous,C,1948.0,M3,237.0,2,4+4,"Four-bedroom, with elevator, near metro M3."
ML-2025-40145,2024-05-24,tortona,1098,83,3,3,2,3,False,furnished,heat pump,C,,M2,240.0,1,3+2,"Three-bedroom, in historic building, near metro M2."
ML-2025-79261,02/02/2024,Zone Quadrilatero,4500,107,4,4,1,3,True,unfurnished,central,D,,M5,297.0,1,3+2,"Four-bedroom, in historic building, with elevator, near metro M5."
ML-2025-51270,03/12/2024,brera,3411,97,3,3,2,4,False,partly furnished,central,G,1913.0,M3,281.0,2,temporary,"Three-bedroom, in historic building, near metro M3."
ML-2025-28911,2024-05-21,bocconi,2131,119,4,4,2,7,True,furnished,autonomous,,1904.0,M1,266.0,2,4+4,"Four-bedroom, in historic building, with elevator, near metro M1."
ML-2025-43591,2025-04-18,porta garibaldi,1591,79,3,3,1,2,True,furnished,centr.,,1961.0,M1,207.0,1,temporary,"Three-bedroom, with elevator, near metro M1."
ML-2025-15269,2025-03-18,tortona,€ 1101,96,4,4,2,1,True,unfurnished,central,D,1957.0,M2,258.0,2,student,"Four-bedroom, with elevator, near metro M2."
ML-2025-84305,2024-05-15,Sempione,612,63,3,2,1,7,True,unfurnished,auto.,F,1960.0,M3,230.0,2,student,"Two-bedroom, with elevator, near metro M3."
ML-2025-31449,24/10/2025,Città Studi,397,57,3,3,2,1,True,partly furnished,centr.,C,1946.0,M2,171.0,1,4+4,"Three-bedroom, with elevator, near metro M2."
ML-2025-34976,2024-05-19,Tortona,€ 1145,127 sqm,5,4,1,first,False,furnished,central,G,1933.0,M5,,1,4+4,"Four-bedroom, near metro M5."
ML-2025-17366,2025-04-06,Tortona,1067,76,2,2,1,1,True,partly furnished,heat pump,F,1983.0,M3,244.0,1,3+2,"Two-bedroom, with elevator, near metro M3."
ML-2025-37324,2024-06-22,porta romana,1180,93,4,3,1,2,True,partly furnished,heat pump,A4,2022.0,M2,243.0,2,4+4,"Three-bedroom, with elevator, near metro M2."
ML-2025-18356,15/07/2025,Zone Centro Storico,2006,73,3,3,1,7,True,partly,autonomous,,1916.0,M1,201.0,3,temporary,"Three-bedroom, in historic building, with elevator, near metro M1."
ML-2025-04625,2025-10-05,Isola,€ 519,57,2,1,1,1,True,furnished,autonomous,E,1936.0,M2,158.0,3,4+4,"One-bedroom, with elevator, near metro M2."
ML-2025-69722,20/03/2025,Porta Venezia,€ 1318,70 sqm,2,1,1,1,False,furnished,autonomous,E,1969.0,M2,207.0,2,temporary,"One-bedroom, near metro M2."
ML-2025-37682,19/04/2025,Navigli,€ 936,116,4,3,1,4th,True,partly furnished,autonomous,G,1978.0,M1,272.0,1,4+4,"Three-bedroom, with elevator, near metro M1."
ML-2025-70431,2024-09-08,De Angeli,539,85,3,3,1,first,False,unfurnished,autonomous,E,,M3,223.0,1,temporary,"Three-bedroom, near metro M3."
ML-2025-22311,06/06/2025,Porta Venezia,€ 611,38,2,1,1,ground floor,True,unfurnished,autonomous,G,1919.0,M2,175.0,2,3+2,"One-bedroom, in historic building, with elevator, near metro M2."
ML-2025-52914,2025-09-25,Centro Storico,1790,65,2,2,1,5,True,partly furnished,central,C,1962.0,M1,218.0,2,4+4,"Two-bedroom, with elevator, near metro M1."
ML-2025-20975,24/06/2025,Zone Porta Romana,1759,131,6,5,3,7,False,furnished,autonomous,G,1922.0,M3,326.0,2,4+4,"Five-bedroom, in historic building, near metro M3."
ML-2025-25222,2025-02-06,porta romana,€ 883,65,2,2,1,6,True,partly furnished,central,G,1950.0,M3,191.0,3,4+4,"Two-bedroom, with elevator, near metro M3."
ML-2025-96918,2025-11-19,Zone Bocconi,704,37,1,1,1,7,False,unfurnished,heat pump,F,1909.0,M1,197.0,1,temporary,"One-bedroom, in historic building, near metro M1."
ML-2025-52964,04/09/2025,Tortona,1329,136,5,5,2,4,True,partly furnished,autonomous,g,1917.0,M2,328.0,1,3+2,"Five-bedroom, in historic building, with elevator, near metro M2."
ML-2025-00589,2025-02-25,bicocca,€380,89,3,2,1,4,True,partly furnished,autonomous ,E,2004.0,M3,229.0,2,3+2,"Two-bedroom, with elevator, near metro M3."
ML-2025-94853,2025-02-08,bocconi,€ 819,68,3,3,2,2,False,unfurnished,central,F,1947.0,M2,,1,4+4,"Three-bedroom, near metro M2."
ML-2025-82247,2024-05-05,navigli,€ 774,61,2,2,1,4,True,furnished,autonomous,A4,1920.0,M2,198.0,1,3+2,"Two-bedroom, in historic building, with elevator, near metro M2."
ML-2025-38369,22/12/2024,Lambrate,380,102,4,4,1,0,False,partly furnished, autonomous,,1932.0,M3,258.0,2,4+4,"Four-bedroom, near metro M3."
ML-2025-24060,26/04/2025,quadrilatero,2984,58,2,2,1,1,False,partly furnished,central,,1923.0,M3,210.0,1,student,"Two-bedroom, in historic building, near metro M3."
ML-2025-42356,2025-11-20,Centro Storico,3335,105,5,4,1,4,True,furnished,autonomous,G,2002.0,M1,268.0,1,3+2,"Four-bedroom, with elevator, near metro M1."
ML-2025-77338,2024-06-25,brera,€ 2951,85,4,3,2,6,True,partly furnished,central,G,1935.0,M1,234.0,3,temporary,"Three-bedroom, with elevator, near metro M1."
ML-2025-49426,25/03/2024,sempione,962,76 sqm,4,3,2,4,False,furnished,hp,,1906.0,M3,211.0,2,temporary,"Three-bedroom, in historic building, near metro M3."
ML-2025-17402,08/02/2025,Isola,462,74,3,3,1,3th,True,furnished,auto.,g,2018.0,M1,187.0,1,4+4,"Three-bedroom, with elevator, near metro M1."
ML-2025-17841,17/05/2025,Quadrilatero,€3233,66,3,3,1,2,False,partly furnished,central,G,1908.0,M5,299.0,2,4+4,"Three-bedroom, in historic building, near metro M5."
ML-2025-99281,2025-03-19,Porta Garibaldi,€ 2412,101,3,2,1,5,True,unfurnished,autonomous,G,1924.0,M1,217.0,1,4+4,"Two-bedroom, in historic building, with elevator, near metro M1."
ML-2025-24471,2025-08-25,quadrilatero,2895,52,2,2,1,7,True,partly furnished,autonomous,C,1967.0,M3,182.0,1,4+4,"Two-bedroom, with elevator, near metro M3."
ML-2025-57888,2025-12-15,bocconi,687,40,1,1,1,2,True,partly furnished,autonomous,E,1969.0,M5,184.0,3,4+4,"One-bedroom, with elevator, near metro M5."
ML-2025-69093,2024-10-15,isola,680,87,3,2,1,4,False,unfurnished,central,E,1977.0,M2,218.0,2,temporary,"Two-bedroom, near metro M2."
ML-2025-15462,23/04/2025,navigli,641,87 sqm,3,3,1,3,False,furnished,central,G,1955.0,M3,231.0,1,3+2,"Three-bedroom, near metro M3."
ML-2025-16158,25/12/2025,Zone Porta Romana,€ 953,83,3,3,1,1,False,partly furnished,heat pump,F,1936.0,M1,247.0,2,3+2,"Three-bedroom, near metro M1."
ML-2025-31210,02/12/2025,Zone Città Studi,504,81,3,3,2,3,True,unfurnished,central,G,1914.0,M3,248.0,2,4+4,"Three-bedroom, in historic building, with elevator, near metro M3."
ML-2025-60450,2025-06-24,navigli,€445,63 sqm,3,2,2,0,True,unfurnished,autonomous,,1981.0,M5,197.0,2,4+4,"Two-bedroom, with elevator, near metro M5."
ML-2025-84570,11/06/2025,Brera,€2542,92 sqm,3,3,1,4,True,unfurnished,central,F,1981.0,M5,286.0,2,4+4,"Three-bedroom, with elevator, near metro M5."
ML-2025-38589,2024-06-13,Zone Brera,€2091,69,2,1,1,ground floor,True,furnished,autonomous,G,1907.0,M2,186.0,2,4+4,"One-bedroom, in historic building, with elevator, near metro M2."
ML-2025-28503,2025-05-12,Corvetto,380,59,3,3,1,3,True,furnished,central,F,,M3,156.0,1,temporary,"Three-bedroom, with elevator, near metro M3."
ML-2025-30628,2025-02-01,Zone Greco,380,63,3,3,1,7,True,unfurnished,autonomous,F,1996.0,M3,,1,3+2,"Three-bedroom, with elevator, near metro M3."
ML-2025-77358,16/11/2025,bocconi,1966,142,5,5,2,first,True,partly furnished,central,e,1902.0,M2,,1,4+4,"Five-bedroom, in historic building, with elevator, near metro M2."
ML-2025-54974,27/05/2025,Porta Romana,380,38,2,1,1,2,True,unfurnished,heat pump,G,1949.0,M3,145.0,2,3+2,"One-bedroom, with elevator, near metro M3."
ML-2025-61956,20/02/2025,Corvetto,€380,83,4,4,2,ground floor,False,furnished,autonomous,G,1903.0,M1,178.0,2,3+2,"Four-bedroom, in historic building, near metro M1."
ML-2025-22569,2025-12-14,Bicocca,380,39,2,1,1,7,True,furnished,autonomous,G,1934.0,,141.0,1,4+4,"One-bedroom, with elevator."
ML-2025-64180,2025-02-01,sempione,€ 815,67,3,3,2,7,False,partly furnished,autonomous,D,2009.0,M5,216.0,1,4+4,"Three-bedroom, near metro M5."
ML-2025-30967,2025-12-21,Zone Isola,€ 380,60 sqm,3,3,1,ground floor,True,furnished,autonomous,,1930.0,M2,177.0,2,4+4,"Three-bedroom, with elevator, near metro M2."
ML-2025-88595,19/02/2024,porta romana,476,34,1,1,1,1,True,unfurnished,autonomous,g,1962.0,M2,133.0,1,temporary,"One-bedroom, with elevator, near metro M2."
ML-2025-52453,2025-05-13,brera,2583,80 sqm,3,2,1,first,False,unfurnished,central,G,,M5,232.0,2,temporary,"Two-bedroom, near metro M5."
ML-2025-15567,2025-07-10,Greco,380,61 sqm,2,1,2,4,True,furnished,autonomous,G,1984.0,M1,183.0,2,3+2,"One-bedroom, with elevator, near metro M1."
ML-2025-65728,2025-03-10,isola,380,34,1,1,1,6,False,unfurnished,autonomous,,1914.0,M2,,2,4+4,"One-bedroom, in historic building, near metro M2."
ML-2025-02740,06/07/2024,Porta Venezia,€1564,94,4,3,2,0,True,partly furn.,centr.,F,1998.0,M2,289.0,3,4+4,"Three-bedroom, with elevator, near metro M2."
ML-2025-83634,2025-07-10,magenta,2376,116,5,4,2,ground floor,True,furnished,central,B,2008.0,M2,286.0,2,4+4,"Four-bedroom, with elevator, near metro M2."
ML-2025-40653,2025-11-05,nolo,435,118,5,4,3,1,False,furnished,autonomous,,,M1,288.0,2,4+4,"Four-bedroom, near metro M1."
ML-2025-82465,10/06/2024,Quadrilatero,€ 3968,79,3,2,2,ground floor,True,furnished,heat pump,D,1944.0,M1,254.0,2,3+2,"Two-bedroom, with elevator, near metro M1."
ML-2025-93988,26/11/2025,de angeli,€596,71,3,2,1,7th,True,unfurnished,central,G,,M5,192.0,1,4+4,"Two-bedroom, with elevator, near metro M5."
ML-2025-49773,16/10/2024,Sempione,€1415,111,4,4,2,6,True,partly furnished,heat pump,,1934.0,M3,301.0,1,4+4,"Four-bedroom, with elevator, near metro M3."
ML-2025-11116,2025-10-16,sempione,1204,126,5,4,1,3,True,unfurnished,autonomous,,2021.0,M3,273.0,2,3+2,"Four-bedroom, with elevator, near metro M3."
ML-2025-07422,2025-08-22,isola,548,104,4,3,1,ground floor,True,partly furnished,autonomous,E,2004.0,M2,247.0,1,4+4,"Three-bedroom, with elevator, near metro M2."
ML-2025-31873,2025-03-24,Città Studi,380,50,2,2,1,0,False,unfurn., autonomous,C,1966.0,M3,165.0,2,3+2,"Two-bedroom, near metro M3."
ML-2025-18806,16/08/2025,nolo,€ 380,75,2,1,1,2,True,furnished,hp,F,1967.0,M2,,1,temporary,"One-bedroom, with elevator, near metro M2."
ML-2025-71374,2025-09-10,Città Studi,€380,82,4,3,2,0,False,furnished,central,F,1936.0,M3,239.0,1,3+2,"Three-bedroom, near metro M3."
ML-2025-00047,2025-05-15,Brera,913,37,1,1,1,6,True,unfurnished,central,g,1985.0,M5,160.0,2,student,"One-bedroom, with elevator, near metro M5."
